index,timestamp,links,rechts,code,,opmerkingen,,case,first letter name,gender,age,experience
1,0:05:17,,"Dat is wat we uiteindelijk moeten presenteren, dus beschrijf hoe je het probleem ziet, beschrijf het idee dat jullie ontwikkeld hebben bla die bla",,,,,Domain theory,R.,Female,23,None
2,0:05:25,Geeft het ontwerp antwoord op de ontwerpvraag,,,,,,Domain theory,T.,Female,21,None
3,0:05:27,,Misschien starten met een mindmap?,,,,,Domain theory,R.,Female,23,None
4,0:05:30,Ja of kijken wat zijn precies de kenmerken van de punten die [in de brief] staan? Hoe kunnen we daar mee omgaan?,,,,,,Domain theory,T.,Female,21,None
5,0:05:39,,Ja,,,,,Domain theory,R.,Female,23,None
6,0:05:41,"We hebben hier machtsverschil, herhaaldelijk en over langere periode. Schaamte. Dat zijn een beetje de gevoelens",,,,,,Domain theory,T.,Female,21,None
7,0:06:04,,"Dit gaat meer over wat pesten is, en dit over de gevoelens.",,,,,Domain theory,R.,Female,23,None
8,0:06:11,,"En wat scholen moeten doen, en de ontwerpvraag",,,,,Domain theory,R.,Female,23,None
9,0:06:16,,Nou ja en hier dus die verschillende rollen.,,,,,Domain theory,R.,Female,23,None
10,0:06:18,"Ja dus ook, inderdaad de verschillende stakeholders",,,,,,Domain theory,T.,Female,21,None
11,0:06:24,"Ok, inderdaad een mindmap beginnen.",,,,,,Domain theory,T.,Female,21,None
12,0:06:35,,Zal ik even stiften pakken?,,,,,Domain theory,R.,Female,23,None
13,0:06:51,Je moet uiteindelijk het gedrag veranderen van niet alleen de pester maar ook de andere mensen in de groep.,,,,,,Domain theory,T.,Female,21,None
14,0:06:59,"Misschien kun je dat doen door bijvoorbeeld dat machtsverschil weg te halen, of ja uberhaupt die verschillende rollen weg te halen.",,,,,,Domain theory,T.,Female,21,None
15,0:07:14,,"Ja, wat ik ook uit eigen ervaring heb gemerkt is dat het heel erg helpt als kinderen elkaar en elkaars achtergrond meer leren kennen want vaak blijft het zo'n afstandsding en hebben ze nog niet de juiste empathie ontwikkeld om zich te kunnen inleven in de persoon die ze pesten, en dan zijn ze gewoon grenzen aan het overgaan, en aan het uittesten.",,,,,Domain theory,R.,Female,23,None
16,0:07:35,,"Terwijl die ander er aan kapot gaat. Vaak wanneer ze er echt achter komen van dit kwetst echt iemand dan willen ze er nog wel eens mee stoppen, ook mits dat goed wordt aangepakt. Dus niet, ""dit mag je niet doen want dat vind ie niet leuk""",,,,,Domain theory,R.,Female,23,None
17,0:07:47,"Nee precies, het moet eigenlijk ook niet van bovenaf komen.",,,,,,Domain theory,T.,Female,21,None
18,0:07:56,Misschien de afstand tussen elkaar verkleinen…,,,,,,Domain theory,T.,Female,21,None
19,0:07:57,,Ja afstand verkleinen en empathie verhogen,,,,,Domain theory,R.,Female,23,None
20,0:08:11,,We zouden kunnen bedenken hoe we dat dan zouden kunnen doen.,,,,,Domain theory,R.,Female,23,None
21,0:08:18,,Nou ja je hebt sowieso dat van die vragenspelletjes die je op tv wel eens ziet zoals over de streep. En sowieso bepaalde vragen aan elkaar stellen waardoor je elkaar beter leert kennen.,,,,,Domain theory,R.,Female,23,None
22,0:08:30,"Maar dan kun je er een soort spelelement van maken want dat moet je niet zo doen, niet heel erg schools gaan doen want daar wordt niemand blij van.",,,,,,Domain theory,T.,Female,21,None
23,0:08:41,"Elkaar beter leren kennen, dat kan misschien waar iemand vandaan komt, of insteek.",,,,,,Domain theory,T.,Female,21,None
24,0:08:56,,"Ja je hebt al van die, of tenminste, er zijn op zich logische onderzoeken naar gedaan naar wat voor vragen je moet stellen om elkaar op een super diep niveau te kunnen leren kennen.",,,,,Domain theory,R.,Female,23,None
25,0:09:07,,Je hebt ook zo'n bekende 36 vragen om verliefd te worden op iemand. Dat wanneer twee mensen deze 36 vragen aan elkaar stellen dat ze dan zo'n connectie met elkaar hebben gemaakt dat ze verliefd worden op elkaar.,,,,,Domain theory,R.,Female,23,None
26,0:09:22,,"Maar ik denk dat je met dat soort vragen, alleen dan op kinderen aangepast je heel veel empathie kan creeëren. Maar ik weet niet precies wat voor vragen dat zijn, maar ik weet dat ze er zijn.",,,,,Domain theory,R.,Female,23,None
