index,timestamp,links,rechts,code,,opmerkingen,,case,firstlettername,gender,age,experience
1,0:06:16,So the assignment was how to stop this bullying thing..,,,,,,anecdotal information,Y.,Female,24,0 to 1 year
2,0:06:26,,[While reading brief] So there are three characteristics…,,,,,anecdotal information,C.,Female,27,1 to 5 years
3,0:06:32,Insult someone.. Repeatedly.. And over a long time..,,,,,,anecdotal information,Y.,Female,24,0 to 1 year
4,0:06:38,,"But basically two are about time, and one is the action.",,,,,anecdotal information,C.,Female,27,1 to 5 years
5,0:06:46,,So we're designing for the bullies.,,,,,anecdotal information,C.,Female,27,1 to 5 years
6,0:06:48,Yeah,,,,,,anecdotal information,Y.,Female,24,0 to 1 year
7,0:06:52,,[reading brief] important that they stop their continuous offensive expressions.,,,,,anecdotal information,C.,Female,27,1 to 5 years
8,0:06:56,The first thing that comes to my mind is that what happens if someone bullies the one that bullies…,,regression2,,,,anecdotal information,Y.,Female,24,0 to 1 year
9,0:07:03,,No but isn't that a [makes circular gesture in the air]. Like you shame me I shame you.,,,,,anecdotal information,C.,Female,27,1 to 5 years
10,0:07:14,,Oke let's.. [writes down bullying on paper],,,,,anecdotal information,C.,Female,27,1 to 5 years
11,0:07:26,,So we said insult..,,,,,anecdotal information,C.,Female,27,1 to 5 years
12,0:07:33,"Yeah it can be oral, or it can be with like hand jobs..",,,,,,anecdotal information,Y.,Female,24,0 to 1 year
13,0:07:53,,It always kind of happens in a group dynamic.,,,,,anecdotal information,C.,Female,27,1 to 5 years
14,0:08:02,And probably there is some followers of the guy that bullies.,,manipulation1,,,,anecdotal information,Y.,Female,24,0 to 1 year
15,0:08:08,,"So it's group dynamic in the sense of, like the bully is supported.",,,,,anecdotal information,C.,Female,27,1 to 5 years
16,0:08:18,Like he or she has more followers probably.,,,,,,anecdotal information,Y.,Female,24,0 to 1 year
17,0:08:24,,"But also what I'm saying is it's more rare I think, which is an assumption, that if you put two kids in one room that they are going to bully each other, than if you put fifteen in one room.",manipulation1,,,,anecdotal information,C.,Female,27,1 to 5 years
18,0:08:42,Yeah so number of children in the group.,,,,,,anecdotal information,Y.,Female,24,0 to 1 year
19,0:08:49,,Then here [points at brief] it says repeatedly so that means that you kind of need to have a routine. That allows that bullying.,,,,,anecdotal information,C.,Female,27,1 to 5 years
20,0:08:58,"Yeah so maybe the breaks, after school.",,,,,,anecdotal information,Y.,Female,24,0 to 1 year
21,0:09:07,,"Then what he was saying was the difference books, that he had something that was different from the others.",,,,,anecdotal information,C.,Female,27,1 to 5 years
22,0:09:21,The bacteria thing?,,,,,,anecdotal information,Y.,Female,24,0 to 1 year
23,0:09:23,,"Oh no the book, the dyscalculia. That basically was a different book so that was a a reason to bully him.",,,,,anecdotal information,C.,Female,27,1 to 5 years
24,0:09:29,So a different characteristic,,,,,,anecdotal information,Y.,Female,24,0 to 1 year
25,0:09:31,,Yeah so it is like when you spot something… you understand what I mean right..,,,,,anecdotal information,C.,Female,27,1 to 5 years
26,0:09:43,"Yeah so like a different kind of characteristic, in this case it's like a skill thing, but next time it was about transmitting bacteria.",,,,,,anecdotal information,Y.,Female,24,0 to 1 year
27,0:09:54,,Yeah so basically it's like you vs other.,,,,,anecdotal information,C.,Female,27,1 to 5 years
28,0:10:18,,"[Grabs the brief] So it's the ministry, so the government.. And the bullying children.",,,,,anecdotal information,C.,Female,27,1 to 5 years
29,0:10:34,,"So we don't need to teach the guy how to defend himself, we just need to make them stop basically..",,,,,anecdotal information,C.,Female,27,1 to 5 years
30,0:10:47,"What comes to my mind from these different characteristics.. Because that's the reason that they start bullying, and probably they are like less powerful, less picking than the other ones, that's probably why they are getting bullied.",,,,,,anecdotal information,Y.,Female,24,0 to 1 year
